section,name,url,address,corrected_address,coordinates,neighborhood,latitude,longitude
Hand-Picked Cool,Annex x LOCAL,https://www.annexvintage.com/us/,"5364 Saint-Laurent Boulevard, Montreal, Quebec","5364, Boulevard Saint-Laurent, Mile-End, Le Plateau-Mont-Royal, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2T 1S1, Canada","(45.5248006, -73.5970816)",Mile-End,45.5248006,-73.5970816
Hand-Picked Cool,Ex-Voto,https://exvoto.ca/en,"6534 Saint-Laurent Boulevard, Montreal, Quebec","6534, Boulevard Saint-Laurent, La Petite-Patrie, Rosemont–La Petite-Patrie, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2S 3C5, Canada","(45.5307855, -73.6101907)",La Petite-Patrie,45.5307855,-73.6101907
Hand-Picked Cool,LNF,https://www.lnfshop.com/,"5319 Park Avenue, Montreal, Quebec","Avenue du Parc, Parc-Extension, Villeray–Saint-Michel–Parc-Extension, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H3N 1P9, Canada","(45.5300931, -73.62239595)",Villeray–Saint-Michel–Parc-Extension,45.5300931,-73.62239595
Hand-Picked Cool,Lazy Vintage,https://www.lazymtl.com/,"1682 Mont-Royal Avenue Est, Montreal, Quebec","1682, Avenue du Mont-Royal Est, Le Plateau-Mont-Royal, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2H 1V3, Canada","(45.5324619, -73.5747044)",Le Plateau-Mont-Royal,45.5324619,-73.5747044
Hand-Picked Cool,Le Ninety,https://www.instagram.com/le.ninety/?hl=en,"4361 Saint-Denis Rue, Montreal, Quebec","4361, Rue Saint-Denis, Le Plateau-Mont-Royal, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2J 2L2, Canada","(45.5232092, -73.5807711)",Le Plateau-Mont-Royal,45.5232092,-73.5807711
Hand-Picked Cool,Bohème Vintage,https://bohemevintage.com/,"206 Saint-Viateur Ouest, Montreal, Quebec","206, Rue Saint-Viateur Ouest, Mile-End, Le Plateau-Mont-Royal, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2T 2L6, Canada","(45.5231636, -73.6011042)",Mile-End,45.5231636,-73.6011042
Hand-Picked Cool,Shwap Club,https://www.shwapclub.com/,"4710 Saint-Ambroise Rue, Montreal, Quebec","OODA Technologies Inc., 4710, Rue Saint-Ambroise, Le Sud-Ouest, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H4C 2C7, Canada","(45.4699455, -73.5860855)",Rue Saint-Ambroise,45.4699455,-73.5860855
Hand-Picked Cool,Common Sort,https://commonsort.com/,"3667 Saint-Laurent Boulevard, Montreal, Quebec","3667, Boulevard Saint-Laurent, Le Plateau-Mont-Royal, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2X 2T6, Canada","(45.5145924, -73.5737081)",Le Plateau-Mont-Royal,45.5145924,-73.5737081
Hand-Picked Cool,Empire Exchange,https://empiremtl.com/,"5225 Saint-Laurent Boulevard, Montreal, Quebec","Empire de l'échange, 5225, Boulevard Saint-Laurent, Mile-End, Le Plateau-Mont-Royal, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2T 1S4, Canada","(45.524204, -73.5950112)",Mile-End,45.524204,-73.5950112
Restored & Upcycled,Citizen Vintage,https://www.citizenvintage.com/,"5330 Saint-Laurent Boulevard, Montreal, Quebec","5330, Boulevard Saint-Laurent, Mile-End, Le Plateau-Mont-Royal, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2T 1S1, Canada","(45.5245895, -73.5966767)",Mile-End,45.5245895,-73.5966767
Restored & Upcycled,La Pompadour Boutique,https://lapompadourmtl.com/,"5358 Saint-Laurent Boulevard, Montreal, Quebec","5358, Boulevard Saint-Laurent, Mile-End, Le Plateau-Mont-Royal, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2T 1S1, Canada","(45.524877, -73.5971915)",Mile-End,45.524877,-73.5971915
Restored & Upcycled,Covet Vintage,https://covetvintage.com/,"5413 Saint-Laurent Boulevard, Montreal, Quebec","5413, Boulevard Saint-Laurent, Mile-End, Le Plateau-Mont-Royal, Montréal, Agglomération de Montréal, Montréal (région administrative), Québec, H2T 1S5, Canada","(45.525421, -73.59738557984099)",Mile-End,45.525421,-73.59738557984099
